name,alpha2,alpha3,numeric
Andorra,AD,AND,020
Barbados,BB,BRB,052
Belarus,BY,BLR,112
Belgium,BE,BEL,056
Botswana,BW,BWA,072
Burundi,BI,BDI,108
Cameroon,CM,CMR,120
Canada,CA,CAN,124
Croatia,HR,HRV,191
Cyprus,CY,CYP,196
Dominica,DM,DMA,212
Dänemark inklusive der Färöer und Grönland,,,
Egypt,EG,EGY,818
Eswatini,SZ,SWZ,748
Ethiopia,ET,ETH,231
Finland,FI,FIN,246
Frankreich inklusive des Übersee-Departements Réunion,,,
Georgia,GE,GEO,268
Greece,GR,GRC,300
Haiti,HT,HTI,332
Hungary,HU,HUN,348
Ireland,IE,IRL,372
Italy,IT,ITA,380
Jordan,JO,JOR,400
"Kongo, Republik",,,
"Korea, Democratic People's Republic of",KP,PRK,408
Lao People's Democratic Republic,LA,LAO,418
Lebanon,LB,LBN,422
Lesotho,LS,LSO,426
Libya,LY,LBY,434
Liechtenstein,LI,LIE,438
Lithuania,LT,LTU,440
Malawi,MW,MWI,454
Malta,MT,MLT,470
Mexico,MX,MEX,484
Monaco,MC,MCO,492
Montenegro,ME,MNE,499
Mozambique,MZ,MOZ,508
Namibia,NA,NAM,516
Netherlands,NL,NLD,528
Norway,NO,NOR,578
Papua New Guinea,PG,PNG,598
Poland,PL,POL,616
Portugal,PT,PRT,620
Russian Federation,RU,RUS,643
San Marino,SM,SMR,674
Seychelles,SC,SYC,690
Slovakia,SK,SVK,703
Slovenia,SI,SVN,705
South Africa,ZA,ZAF,710
Spain,ES,ESP,724
Sudan,SD,SDN,729
Switzerland,CH,CHE,756
Syrian Arab Republic,SY,SYR,760
Tajikistan,TJ,TJK,762
"Tanzania, United Republic of",TZ,TZA,834
Trinidad and Tobago,TT,TTO,780
Tschechische Republik,,,
Turkey,TR,TUR,792
Turkmenistan,TM,TKM,795
Ukraine,UA,UKR,804
United Kingdom of Great Britain and Northern Ireland,GB,GBR,826
"Venezuela, Bolivarische Republik",,,
Vereinigte Staaten von Amerika,,,
Viet Nam,VN,VNM,704
Yemen,YE,YEM,887
Zimbabwe,ZW,ZWE,716
